"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 10:18:36 GMT 2023","Fri Dec 01 10:18:36 GMT 2023","314","requests","test.spec.js","Airports:","","","GET /favorites/:id",""
"passed","Fri Dec 01 10:18:35 GMT 2023","Fri Dec 01 10:18:35 GMT 2023","348","requests","test.spec.js","Airports:","","","GET /favorites",""
"passed","Fri Dec 01 10:18:38 GMT 2023","Fri Dec 01 10:18:38 GMT 2023","336","requests","test.spec.js","Airports:","","","GET /favorites after delete",""
"passed","Fri Dec 01 10:18:35 GMT 2023","Fri Dec 01 10:18:36 GMT 2023","368","requests","test.spec.js","Airports:","","","POST /favorites",""
"passed","Fri Dec 01 10:18:37 GMT 2023","Fri Dec 01 10:18:38 GMT 2023","348","requests","test.spec.js","Airports:","","","DELETE /favorites/:id",""
"passed","Fri Dec 01 10:18:36 GMT 2023","Fri Dec 01 10:18:36 GMT 2023","348","requests","test.spec.js","Airports:","","","GET /favorites created",""
"passed","Fri Dec 01 10:18:34 GMT 2023","Fri Dec 01 10:18:35 GMT 2023","642","requests","test.spec.js","Airports:","","","POST /airports/tokens",""
"passed","Fri Dec 01 10:18:32 GMT 2023","Fri Dec 01 10:18:33 GMT 2023","1118","requests","test.spec.js","Airports:","","","GET airports",""
"passed","Fri Dec 01 10:18:34 GMT 2023","Fri Dec 01 10:18:34 GMT 2023","801","requests","test.spec.js","Airports:","","","POST /airports/distance",""
"passed","Fri Dec 01 10:18:33 GMT 2023","Fri Dec 01 10:18:34 GMT 2023","326","requests","test.spec.js","Airports:","","","GET Osaka airport response",""
"passed","Fri Dec 01 10:18:36 GMT 2023","Fri Dec 01 10:18:37 GMT 2023","356","requests","test.spec.js","Airports:","","","PATCH /airports/:id",""
"passed","Fri Dec 01 10:18:37 GMT 2023","Fri Dec 01 10:18:37 GMT 2023","386","requests","test.spec.js","Airports:","","","GET /favorites patched",""
